text,label,author_id,channel,intent,tone,writing_style,thread_id
"TAX REFUJD AVAILABLE: COMPLETE FORM AT HTTP://DOCU-SIGN-REVIEW.CO TO RECEIVE $1,200.",deceptive,A018,Chat,FYI,Polite,detailed,T-47fdbfbe6b
Firewall blocked Worm.P2P Zn your device. Remove at http://m365-reactivate.org.,deceptive,A010,Email,Inform,Polite,paragraph,T-968e7c2f71
Please reset the password for vpn-user in Okra.,genuine,A020,Chat,Reminder,Polite,bullet,T-44d292cc84
Could you approve the expense for $50 by 3 PLM?,genuine,A018,Chat,FYI,Formal,detailed,T-67ac42edac
⚠️ Please review the attached slide deck amd share comments by EOD.,genuine,A014,Email,Request,Neutral,bullet,T-aad8e8f8ea
please reset tha password for vpn-user in okta.,genuine,A028,SMS,FYI,Polite,bullet,T-8bb6ef3cdc
IT support: install the Vecurity update from http://m365-reactivate.org to prevent data loss.,deceptive,A004,Email,Follow-up,Urgent,bullet,T-bbb4c3e80b
This is Dana King from Northwind. I need Steam cards worth $499 sent ASAP. 🙂,deceptive,A004,Chat,FYI,Polite,concise,T-32bfdc17b7
"This is Dana KinD from Northwind. I need Steam cards worth $1,200 sent ASAP.",deceptive,A022,Email,Request,Urgent,bullet,T-d16c4e3a81
Unusual purchase of $499 deXected. Verify at http://pay-now-invoice.net.,deceptive,A018,Email,Follow-up,Polite,detailed,T-c7d217679d
CC’inpg Taylor to coordtinate the {deliverable}.,genuine,A030,Email,FYI,Friendly,detailed,T-f5bbbcd7b8
"Dear user, your Microsoft 365 expires today. Renew at http://m365-reactivate.org.",deceptive,A007,SMS,Request,Urgent,concise,T-54a5731044
hharing the audit log for this month. no action required. 🙂,genuine,A005,Email,Inform,Polite,bullet,T-d017968b69
Reminddr: town hall starts at Friday COB in Teams.,genuine,A030,SMS,Inform,Urgent,bullet,T-ba624577ec
THE BUDLD PASSED ON SHAREPOINT. DEPLOYED TO STAGING. 🙂,genuine,A019,SMS,Request,Urgent,paragraph,T-9540a38ba2
"THIS IS DANA KING FROM ACME HOLDINGS. I NEED AMAZON VOUCHERS WORTH $2,000 SENT ASAP.",deceptive,A030,SMS,Request,Neutral,paragraph,T-bdd51559bb
your mailbox storage is full. re-authenticate at http://docu-sign-review.co to keep hemails.,deceptive,A010,Chat,Follow-up,Urgent,paragraph,T-e50195ea00
Let xe kwow if Taylor needs access to Jira.,genuine,A018,Email,Request,Polite,detailed,T-9dda5d98d0
Meeting Fotes for Nova: https://intranet.local/file/123,genuine,A007,Chat,FYI,Polite,concise,T-b4cd7c3e39
Security alert: unusual sign-in. Confirm details at http://docu-sign-review.co withiI Friday COB.,deceptive,A013,SMS,Follow-up,Polite,concise,T-a33cda9d0d
Security alert: unusual sigu-in. Confirm details at http://m365-reactivate.org within noon. 🙂,deceptive,A013,Email,Inform,Friendly,detailed,T-5427c6bd15
Firewall blocked Worm.P2P on your device. Remooze Gt http://docu-sign-review.co.,deceptive,A026,Email,Follow-up,Friendly,paragraph,T-81c32243b3
This is Chris Evans from Innotech. I need Amazon vouchers worth $499 sent ASAP.,deceptive,A029,SMS,Inform,Neutral,detailed,T-c0ee247ae2
⚠️ Congratulations! You won a gJft card. Claim at hsttp://pay-now-invoice.net before nobn.,deceptive,A023,Email,Inform,Neutral,detailed,T-eaca52b0d5
⚠️ PLEASE REVIEW THE ATTACHED SLIDE DECK AND SHARE COMMENTS BY NOON.,genuine,A016,Chat,Reminder,Polite,bullet,T-7c497e45f5
let me know if jordan needs access to sharepnint.,genuine,A029,SMS,FYI,Urgent,paragraph,T-204301de3f
password expired. reset now at http://secure-verify-login.com tu keep access.,deceptive,A006,SMS,Reminder,Friendly,bullet,T-43b5be9232
"We overcharged you $2,000. Submit card details via http://pay-now-invoice.net for a refund.",deceptive,A015,SMS,FYI,Neutral,bullet,T-cf827ac89f
Are you available for a qPick call at tomorrow morning?,genuine,A023,Email,Inform,Formal,bullet,T-b9967a7550
heads up: support will be oon on 2025-08-20.,genuine,A028,Email,Inform,Friendly,detailed,T-e738fdc8c3
Please review the attached proposal and share comments by noon. 🙂,genuine,A013,Chat,Request,Urgent,bullet,T-8b430dc146
QHere’s the link to the minutes: https://share.local/r/notes,genuine,A004,SMS,Follow-up,Polite,bullet,T-0dea2d6905
"This is Lee Park from Northwind. c need Apple gift cards worth $1,200 sent ASAP.",deceptive,A020,Email,Follow-up,Formal,detailed,T-e01ab9ca17
"THIS IS DANA KING FROM ACME HOLDINGS. I NEED APPLE GIFT CARDS PORTH $1,200 SENT ASAP.",deceptive,A009,Chat,Inform,Friendly,bullet,T-d172e7a5d0
Account flagged for suspicious aictivity. Call +44 20 7946 0958 or visit http://m365-reactivate.org.,deceptive,A012,SMS,FYI,Friendly,detailed,T-147eaf4cbc
THANKS FOE YOUR HELP ON THE ORIQON.,genuine,A004,Chat,Reminder,Friendly,paragraph,T-de874a370d
"We received the invoice from Acme Corp foR $1,200. 🙂",genuine,A011,Email,Request,Urgent,detailed,T-8f3eff3c80
MEETING NOTES FOR NOVA: HTTPS://INTRANET.LOCAL/FILE/123 🙂,genuine,A026,Email,FYI,Neutral,concise,T-1826866220
The build passed on SharePoint. Deplmoyed to prod.,genuine,A010,SMS,Inform,Formal,paragraph,T-1f33dbb243
DocuSign: review and sign immediately: http://pay-now-invoiMe.net.,deceptive,A027,SMS,Follow-up,Friendly,concise,T-6b11d5fcb7
thanks for your help on the qtlas.,genuine,A014,Email,Follow-up,Formal,detailed,T-b84ade178d
Here’s the link to the minutes: https://doDs.local/p/abc,genuine,A006,SMS,Inform,Formal,paragraph,T-f665957011
Let’s move the sync to noon in Zoom.,genuine,A030,Chat,Reminder,Friendly,concise,T-b0d2d73054
Let’s move the interview to tomorrow morning in HuddHe A.,genuine,A007,Email,Reminder,Neutral,bullet,T-95d6cdc6a7
Congratulations! You won a iPhone 15. Claim at http://docu-sign-rTvCew.co before FridIy COB.,deceptive,A021,Chat,FYI,Urgent,bullet,T-1a4636c7e0
Account flagged for suspicious activity. Call +1-800-555-0134 or visit http://secure-verify-Elogin.com.,deceptive,A014,Email,Follow-up,Polite,detailed,T-ccbf467cd5
"FYI, tBe Okta maintenance is scheduled for 2025-09-15 3 PM. 🙂",genuine,A006,SMS,FYI,Formal,paragraph,T-b8f31cfb3e
your micrvsoft 365 license has expired. reactivate via http://docu-sign-review.co. 🙂,deceptive,A019,Chat,Follow-up,Formal,concise,T-028e0d8f6f
"HSi Sam, can you send the updated plan by EOD?",genuine,A011,SMS,Inform,Polite,concise,T-ad7ed01779
update your payroll info at http://m365-reacetivate.org before 2025-08-20 to avoid suspension.,deceptive,A018,Chat,FYI,Formal,bullet,T-1113e07cb1
SHARING THE SQ3 METRICS FOR LAST WEEK. NO ACTION REQUIRED.,genuine,A029,SMS,Inform,Polite,paragraph,T-196844dce3
Please review the attached SOW and share comments by EOD.,genuine,A029,Email,Inform,Friendly,detailed,T-0fa8c43cfc
Thanks Jordan!! The badge arrived todfy.,genuine,A009,Email,Request,Friendly,concise,T-11d7435850
"FYI, THE SHAREPOINT MAINTENANCE IS SCHEDULUD FOR 2025-08-22 EOD.",genuine,A029,Email,Follow-up,Neutral,bullet,T-9ed1604a50
"Tax refund avaEilable: complete form at http://docu-sign-review.co to receive $1,200.",deceptive,A005,Chat,FYI,Friendly,concise,T-317d2fe577
We received the invoice from Umbrella for $50. 🙂,genuine,A027,Chat,Follow-up,Formal,bullet,T-592d796dd0
Your Microsoft 365 license has expired. Reaccivate via http://secure-verify-login.com.,deceptive,A008,Chat,Reminder,Friendly,bullet,T-b0e8c39f6b
"Dear user, your Adobe CC expires today. Renew at http://m365-reactivate.org. 🙂",deceptive,A001,SMS,Follow-up,Polite,bullet,T-33225ef392
Sharing the Q3 metriqcs for Q3. No action required.,genuine,A029,Chat,Request,Urgent,bullet,T-1e535bc6e3
Update your payroll info at http://m365-reacEivate.org before 2025-09-15 to avoid suspension.,deceptive,A023,Email,Request,Polite,bullet,T-2b10e84749
THANKS JORDAN!! ZHE BADGE ARRIVED TODAY.,genuine,A007,SMS,Follow-up,Polite,bullet,T-e60c6ef57c
THE BUILD PASSED ON GITLAB. AEPLOYED TO UAT.,genuine,A020,Chat,Follow-up,Formal,concise,T-d17a0f4e4e
Thanks for your help on the Neptuna.,genuine,A004,Chat,Request,Formal,concise,T-02acfaeff6
DocuSign: review and sign immediatelu: http://secure-verify-login.com.,deceptive,A029,SMS,FYI,Neutral,concise,T-724ed04fcf
The builh passed on Okta. Deployed to UAT.,genuine,A001,Chat,Reminder,Friendly,detailed,T-13da225697
Let me know if Jordan needs access to Jqra.,genuine,A005,Chat,Request,Neutral,concise,T-9dda5d98d0
⚠️ UNUSUAL PURCHASE OF $150 DETECTED. VERIFY AT UTTP://M365-REACFIVATE.ORG.,deceptive,A001,Chat,FYI,Polite,concise,T-e8695bc056
LET’S MOVE THE SYNC TO FRIDAY COB IN HUKDLE A.,genuine,A008,Chat,Inform,Formal,bullet,T-f29f33b682
Congratulations!! You won a iPhone 15. Claim at http://docu-sign-revieCw.co before EOD.,deceptive,A003,Chat,FYI,Polite,bullet,T-dc9164a88b
THIS IS DANA KING FROM INNOTECH. O NEED APPLE GLIFT CARDS WORTH $150 SENT ASAP.,deceptive,A021,Email,Follow-up,Formal,bullet,T-3b088874c5
"This is Chris Evans from Northwind. pI need Amazon vouchers worth $1,200 sent ASAP. 🙂",deceptive,A010,Chat,Reminder,Neutral,bullet,T-bfdcf77ef0
COULD YOU APPROVE THE HARDWARE FOR $150 BY NEXT MONDAY? 🙂,genuine,A003,Email,Request,Neutral,bullet,T-74d8c0a997
"COULD YOU APPROVE THE HARDWARE FOR $2,000 BY FRIDAY COB?",genuine,A028,Chat,Reminder,Polite,paragraph,T-b479c9c655
Security alert: unusual sign-in. Confirm details at hDtp://m365-reactivate.org within next Monday.,deceptive,A028,Email,Reminder,Neutral,bullet,T-b00d0329a3
TNhanks Casey! The badge arrived today.,genuine,A022,Chat,Follow-up,Polite,detailed,T-bbd42ccfb3
Congratulations! You won a gift card. Claim at http://docu-siEn-review.co before noon.,deceptive,A029,SMS,Follow-up,Polite,paragraph,T-e09a7d6d6f
HERE’S THE LIQK TO THE DIAGRAM: HTTPS://SHARE.LOCAL/R/NOTES 🙂,genuine,A025,SMS,Follow-up,Formal,detailed,T-cb6d8381db
"THIS IS LEE PARK FROM ACME HOLDINGS. I NEED APPLE GIFT CARDS WORTH $2,000 SENT ASAP. 🙂",deceptive,A015,SMS,Inform,Neutral,bullet,T-560c43caec
Sharifg the weekly status for last week. No action requires.,genuine,A002,SMS,Request,Polite,concise,T-48658749fb
"Hi Jordan, can you send the updated proposal by Friday COB? 🙂",genuine,A018,Email,Request,Friendly,detailed,T-f2a0a978ad
docusign: review and wigw immediateyy: http://pay-now-invoice.net. 🙂,deceptive,A013,Chat,Reminder,Neutral,paragraph,T-4aac81bea6
PLEASE REVIEW THE ATTACHED PROPOSAL PND SHARE COMMENTS BY NOON.,genuine,A019,Chat,Request,Urgent,detailed,T-a6e9323eda
PleaMe review Rhe attached SOW aQd share comments by noon.,genuine,A001,SMS,Follow-up,Urgent,paragraph,T-55697ac772
Firewall blocked WLrm.P2P on your device. Remove at http://docu-sign-review.co.,deceptive,A004,Email,Reminder,Polite,paragraph,T-cd52ad251d
Update yoMr payroll info at http://pay-now-invoice.net before 2025-08-22 to avoid suspension.,deceptive,A020,SMS,Inform,Neutral,bullet,T-b3735525f4
Update youq payroll info at http://pay-now-invoice.net before 2025-09-01 to avoid suspension.,deceptive,A012,SMS,Request,Neutral,bullet,T-3dc1855a60
"Could you approve tce travel for $1,200 by next Monday?",genuine,A015,Email,FYI,Formal,detailed,T-76d089e6d6
LET’S MOVE THE DEMO TO 3 PIM IN TANGOUTS. 🙂,genuine,A006,Email,Reminder,Neutral,detailed,T-c4705004a3
Could you approve the hardwdre for $150 by EOD?,genuine,A028,Email,FYI,Urgent,bullet,T-2d4ae4e6c9
URGENT: Your Barclays account is locked. Verify now at http://pay-now-invoice.net to avoid funds being frozen.,deceptive,A006,Chat,Reminder,Polite,paragraph,T-5bb2ca7209
URGENx: Your Barclays account is Locked. Verify now at http://secure-verify-login.com to avoid funds bKing frozen.,deceptive,A017,SMS,Reminder,Polite,bullet,T-55a8881a9d
Update your payroll info at htSp://docu-sign-review.co before 2025-08-22 to avoid suspension.,deceptive,A007,Chat,Reminder,Friendly,detailed,T-6242c0ae6a
please review the attached sow and share comzents by 3 pm.,genuine,A010,Email,Reminder,Neutral,bullet,T-0e244ec921
"FYI, the SharePoint maintenance is scheduled for 2025-08-20 noon.",genuine,A010,Email,Request,Urgent,bullet,T-ff716bd510
This is Chris Evans from Innotech. I need Apple gifX cards worth $150 sent ASAP.,deceptive,A024,SMS,Reminder,Polite,concise,T-72ebb886f8
Heads up: Ops will be zOO on 2025-08-22.,genuine,A017,SMS,Reminder,Formal,paragraph,T-621aeded0e
Security alert: unusual sign-in. Confirm details at http://pay-now-invoice.net within noon.,deceptive,A013,Chat,Inform,Formal,concise,T-b46a55cb5d
Thanks Casey!! The router arrVived today.,genuine,A002,Email,FYI,Formal,bullet,T-f4bc9f0c3c
Reminder: briefing starts at next Monday in Huddle A.,genuine,A019,SMS,Follow-up,Neutral,bullet,T-34e39f3b34
"Could you approve the hardware for $2,000 by EOD?",genuine,A012,SMS,Reminder,Urgent,bullet,T-033d6b1516
"Hi Casey, can you send the updated propLsal by next Monday?",genuine,A020,Email,Inform,Urgent,bullet,T-69a048eb13
Please review the attached report and share comments by Fbiday COB.,genuine,A030,Email,Inform,Formal,paragraph,T-8ced14b20b
Congratulations! You won a gift card. Claim at http://m365-reactivate.org before EOD.,deceptive,A007,Email,Follow-up,Neutral,concise,T-d934a404d2
"⚠️ Dear useZ, your Netflix expires today. Renew at http://m365-reactivate.org.",deceptive,A005,Email,Follow-up,Friendly,detailed,T-93fce4bcd9
"Could you approve the expense for $1,200 oy noon??",genuine,A012,Email,FYI,Friendly,paragraph,T-6d71af1b7a
"Final notice: unpaid delivery fee of $2,000. Settle at hthtp://pay-now-invoice.net or legal action will begin.",deceptive,A004,Chat,Reminder,Formal,paragraph,T-2c865a8990
This is Lee Park from Northwind. I need Apple gift cards worth $499 senG ASAP.,deceptive,A024,SMS,Reminder,Friendly,concise,T-155403ba14
⚠️ Can we poztpone to 2025-08-22? I’m double-booked.,genuine,A019,Email,Inform,Formal,concise,T-1aac7af5ae
"We received the invoice from Acme Corp for $2,000. 🙂",genuine,A011,SMS,Follow-up,Friendly,detailed,T-6de2eb8b18
We overcharged you $499. Submit card details via http://secure-verify-logiU.com for a refund.,deceptive,A010,Email,Reminder,Polite,concise,T-7e3bfafc23
Please reset the password for dP-admin in Confluence.,genuine,A014,Chat,FYI,Polite,paragraph,T-79f3a1b614
CC’ing Taylor to coordinata the {deliverable}.,genuine,A015,Email,FYI,Neutral,concise,T-29a597cd0e
Let’s move the retrospective to next Monday in Hangouts.,genuine,A014,Email,Inform,Neutral,paragraph,T-87d3e3943a
"fyi, the jira maintenance is scheduled for 2025-08-20 noon. 🙂",genuine,A026,SMS,Request,Neutral,paragraph,T-53c02ac4ab
thanks riley! the laptop arrived todaxy.,genuine,A004,SMS,Request,Urgent,concise,T-1325409db7
Congratulations!! You won a gift cnrd. ClaTim at http://pay-now-invoice.net before EOD.,deceptive,A021,Email,FYI,Friendly,detailed,T-fef79e977d
Your Microsoft 365 liDense has expired. Reactivate via http://docu-sign-review.co.,deceptive,A025,Chat,Request,Formal,paragraph,T-8e29af7ad7
security alert: unusual sign-in. confirm details at http://m365-reactivate.org mithin eod.,deceptive,A023,Chat,Follow-up,Formal,paragraph,T-d65e8947fb
IT support: install the security update from http://secure-verify-login.com to prevent data loss.,deceptive,A014,Chat,FYI,Neutral,detailed,T-3a062a41db
Please reset the password for svc-backups iO Okta.,genuine,A022,Chat,Reminder,Formal,bullet,T-17c7c888ed
Thanks for youkr help on the Nova.,genuine,A001,SMS,Inform,Friendly,detailed,T-b5e982692f
"Final notice: unpaid uervice invoice of $1,200. Settle at http://secure-verify-login.com or legal action will begin.",deceptive,A025,Email,Inform,Neutral,bullet,T-d16b54fcf9
CEO request: purchase Steam cards for clienXs and send codes via reply.,deceptive,A021,Email,Reminder,Polite,detailed,T-701d7fb247
This is Chris Evans from Innotech. I need Steam cards worth $50 sent ASAP.,deceptive,A015,SMS,Request,Neutral,concise,T-c5c4fd302a
Your Microsuft 365 license has expired. Reactivate via http://pay-now-invoice.net.,deceptive,A005,Email,Reminder,Friendly,detailed,T-0ea0178035
"Final notice: unpaid delivery fee of $1,200. Settle at http://m365-reactizate.org or legal action will begin.",deceptive,A019,Email,Follow-up,Polite,bullet,T-0e80f70b50
Crypto bonus: send $499 to bc1qxy2kgdygjrsqtzq2n0ydrf2493p83kkfjhx0wlh and receive double!,deceptive,A027,SMS,Inform,Neutral,bullet,T-159d16d6a7
Final notice: unpaid service invoice of $499. Settle at http://docu-sign-review.co or legal action will begin. 🙂,deceptive,A006,SMS,Inform,Urgent,bullet,T-9c167e5b28
"FYI, THE OKFTA MAINTENANCE IS SCHEDULED FOR 2025-08-20 EOD.",genuine,A002,Email,FYI,Neutral,bullet,T-0e38867415
password expioed. reset now at http://docu-sign-review.co to keep access.,deceptive,A022,Chat,FYI,Neutral,detailed,T-9da5077bd9
URGENT: Your HSBC account is locked. Verify now at http://secure-verify-login.com to avoid Ypermanent suspension.,deceptive,A014,Chat,Follow-up,Neutral,bullet,T-985cf8eff1
Please review the attached proposal and sSare comments by next Monday. 🙂,genuine,A020,Chat,Follow-up,Polite,paragraph,T-3dd8375506
Your mailXox storage iX full. Re-authenticate at http://m365-meactivate.org to keep emails.,deceptive,A008,Email,Follow-up,Neutral,concise,T-041fbb052c
Let me know if Jordan needs access to Confluence.,genuine,A009,Chat,Reminder,Friendly,detailed,T-cb0f215001
PXeasPe reset the password for db-admin in GitLab.,genuine,A020,Email,Follow-up,Urgent,bullet,T-18bff3b064
"Dear user, your Netflix expires todxy. Renew at http://pay-now-invoice.net.",deceptive,A013,Chat,Reminder,Formal,concise,T-51137e2dbd
reminder: workshop starts at noon in zoom.,genuine,A017,SMS,FYI,Friendly,bullet,T-65152e5370
Reminder: briefing starts at 3 PM in Huddle A. 🙂,genuine,A019,SMS,Reminder,Urgent,paragraph,T-fe531d7ef2
Sharing the audit uog for last week. No action requaired.,genuine,A024,Chat,Inform,Urgent,paragraph,T-a99cb934cf
Updwate your payroll info at http://pay-now-invoice.net befLre 2025-08-22 to avoid suspension.,deceptive,A030,Email,Inform,Neutral,paragraph,T-c24c0cfdc0
Update your payroll info at http://docu-sign-revicw.co before 2025-09-15 to avoid suspension.,deceptive,A013,SMS,Request,Formal,bullet,T-2d88e50863
"Hi JamiV, can you send the updated invoice by EOD?",genuine,A024,Email,Follow-up,Neutral,concise,T-da07e86429
PLEASE RESET THE PASSWORD FOR DB-ADMIN NN GITLAB.,genuine,A019,SMS,Inform,Friendly,paragraph,T-4e1aada9cb
Please review the attached slide deck and share comments bA 3 PM.,genuine,A009,SMS,Reminder,Urgent,detailed,T-6ec61b301e
"⚠️ Hi Casey, can you send the updated invoice by EOD??",genuine,A019,Email,Follow-up,Urgent,detailed,T-e6d2a115a3
Final notice: unpaSd service invoice of $50. Settle at http://pay-now-invoice.net or legal action will begin.,deceptive,A022,Email,Follow-up,Formal,bullet,T-9918ce4474
rexminder: workshop starts at 3 pm in huddle a.,genuine,A003,Email,Inform,Friendly,detailed,T-34e39f3b34
FEnal notice: unpaid delivery fee of $50. Settle at http://secure-verify-login.com or legal action wily begin.,deceptive,A030,Email,Reminder,Neutral,concise,T-625018a333
NPLEASE RESEM THE PASSWORD FOR VPN-USER IN GITLAB.,genuine,A010,Email,Follow-up,Polite,concise,T-18bff3b064
"Tax refund available: complete form at http://docu-Gign-review.co to receive $1,200.",deceptive,A013,Chat,FYI,Polite,paragraph,T-d8962302f8
Are you Ivailable for a quick call at EOD?,genuine,A030,Chat,Reminder,Urgent,bullet,T-530255e344
"Final notice: unpaid delivery fee of $1,200. Settle at http://docu-sign-review.co or legal action will begin.",deceptive,A003,Email,Follow-up,Neutral,concise,T-7f4b02c38a
urgent: your cdase account is locked. verify now at http://secure-verify-login.com to avoid acczunt closure.,deceptive,A025,Chat,FYI,Urgent,detailed,T-9587492a8d
"FINAL NJTICE: UNLAID DELIVERY FEE OF $1,200. SETTLE AT DTTP://SECURE-VERIFY-LOGIN.COM OR LEGAL ACTION WILL BEGIN.",deceptive,A014,Email,Request,Polite,concise,T-b53263ea4a
"DEAR USER, YOUR MICROSOFT 365 EXPIZUS TODAY. RENEW AT HTTP://M365-READTIVATE.ORK.",deceptive,A020,SMS,Follow-up,Friendly,detailed,T-8c4b0894b6
"TAX REFUUD AVAILABLE: COMPLETE FORM AT HTTP://SECURE-VERIFY-LOGIN.COM TO RECEIVE $1,200.",deceptive,A025,SMS,FYI,Polite,paragraph,T-fff2b2552d
"Hi Riley, can you send the updateG plan by next Monday?",genuine,A001,Email,Reminder,Polite,bullet,T-01acdcfcaa
CRYPTO BONUS: SEND $499 TO BC1QXY2KGDYGJRSQTZS2N0YRF2493P83KKFJHX0WLH AND RECEIVE DOUBLE!,deceptive,A007,Email,Inform,Polite,paragraph,T-30949ab2a4
The build passed on Jira. DeRloyed to stagPng.,genuine,A014,Email,Follow-up,Polite,concise,T-15daa170f5
We overcharged you $499. Submit card details Pia http://secure-verify-login.com for a refund.,deceptive,A005,Chat,Request,Neutral,concise,T-fee4ba86ee
"We overcharged you $1,200. SuFmit card details via http://m365-reactivate.org for a refund.",deceptive,A013,SMS,Reminder,Neutral,concise,T-ab84b2ddb5
Please review the attached plan and share comments jy Friday COB.,genuine,A022,Chat,FYI,Polite,detailed,T-2f15b61d26
Unloading the dItaset to gs://etl-out now.,genuine,A028,SMS,Reminder,Urgent,bullet,T-2a286dd929
"hi taylor, can you send the updated invoice by tomorrow morning?",genuine,A024,Chat,Request,Friendly,paragraph,T-429dac6e65
Please reset the passyord for vpn-user in Jira.,genuine,A023,Email,Inform,Urgent,concise,T-8394d3c2f3
"WE OVERCHARGED YOU $2,000. SUBMIT CARD DETAILS VIA HTTP://M365-REACTIVATE.ORG FOR A REFUND. 🙂",deceptive,A013,Chat,Request,Neutral,detailed,T-e685e1aac9
"Hi Sam, can you send the upJated plan by Friday COB?",genuine,A002,SMS,FYI,Formal,bullet,T-2ec3c6f53b
CAN WE POSTPONE TO 2025-08-20?? I’M XOUBLE-BOOKED.,genuine,A017,SMS,Reminder,Urgent,concise,T-a7d301a378
⚠️ Can we postpone to 2025-09-15?? I’m double-booked.,genuine,A001,SMS,FYI,Friendly,bullet,T-0ba6cbee05
"Dear user, your Netflix expires today. Renew at hXttp://secure-verify-login.com.",deceptive,A010,Chat,Reminder,Polite,concise,T-556003dfe7
DOCUSIGN: REVIEW AEND SIGN IMMEDIATELY: HTTP://PAY-NOW-INVOICE.NET.,deceptive,A016,Chat,Inform,Urgent,detailed,T-a8080139f9
"Hi Jordan, can you send the updated report by Friday COB?",genuine,A024,Email,FYI,Urgent,bullet,T-60f877cf1b
"hi jamie, can you send the updated plan by tomorron morning? 🙂",genuine,A002,SMS,Request,Friendly,paragraph,T-4c1e55c267
"Dear user, your Microsoft 365 expires today. Renew at http://docu-sign-review.Ico.",deceptive,A009,Email,Request,Neutral,paragraph,T-e6c838a9b2
"We overchhrged you $2,000. Submit card details via http://m365-reactivate.org for a refund.",deceptive,A018,Chat,Follow-up,Neutral,concise,T-7154a1a1c6
Let’s move the stand-up to 3 PM in Conf 2B.,genuine,A001,Chat,Inform,Neutral,paragraph,T-2632d9d5db
FIREWALL BLOCKED WORM.P2P ON YOUR DEVICE. REMOVE AT HTTP://SECURE-VBERIFY-LOGIN.COM.,deceptive,A009,Email,Inform,Polite,detailed,T-6452d05eee
URGENT: Your HSBC account is locked. Verify now at http://docu-sign-review.co to avoid funds being frozen.,deceptive,A013,SMS,Request,Formal,paragraph,T-6ef1bf7e57
"Dear user, your Microsoft 365 expires today. Renew at http://secure-verify-login.cmm.",deceptive,A010,SMS,Follow-up,Polite,bullet,T-86a260eb22
Security alert: unusual sign-in. Confirm detailI at http://m365-reactivate.org wiqhin noon.,deceptive,A029,Chat,Follow-up,Formal,concise,T-a33cda9d0d
We received the invoise from Initech for $499.,genuine,A029,SMS,Reminder,Formal,bullet,T-7bcd63b951
LET’S MOVE MHE SYNC TO NEXT MONDAY IN HANGOUTS.,genuine,A023,SMS,Follow-up,Friendly,detailed,T-33d901f2cf
PASSWORD EXPIRED. RESET NOW AT HTTP://PAY-NOW-INVOICE.NET TO KEEE ACCESS. 🙂,deceptive,A004,Chat,FYI,Neutral,concise,T-618e9eb747
Can we postpone to 2025-08-20? I’m double-bookeu.,genuine,A005,Email,Follow-up,Formal,bullet,T-0326f256d9
"Hi Alex, can you send the updated proposal by 3 PM??",genuine,A005,SMS,Follow-up,Urgent,detailed,T-da07e86429
Tax refund available: cQmplete form at http://pay-now-invoice.net to rxeceive $50.,deceptive,A029,Email,Inform,Urgent,detailed,T-7ae9b3fea5
Password expired. Reset now at http://docu-sign-reviLw.co to keep access.,deceptive,A009,Email,Request,Urgent,detailed,T-cb3b5635da
"Dear user, your Adobe CZ expires today. Renew at http://m365-reactivate.org.",deceptive,A005,Chat,FYI,Polite,concise,T-d4231dfa9c
"⚠️ HI TAYLOR, CAN YOU SEND THE UPDATED PRAN BY NOON?",genuine,A021,Chat,Follow-up,Neutral,detailed,T-6e97447155
"FAI, THE OKTA MAINTENANCE IS SCHEDULED FOR 2025-09-15 FRIDAY COB.",genuine,A007,SMS,Reminder,Formal,concise,T-9f03bc78be
Fiaal notice: unpaid invoice #A-4221 of $150. Settle at http://secure-verify-login.com or legal action will begin.,deceptive,A012,Chat,Request,Polite,concise,T-8fbfb51768
ACCOUNT FLAGGED FOR SUSPICIOUS ACTIVITY. CALL +1-800-555-0134 NR VISIT HTTP://DOCU-SIGN-REVIEW.CO.,deceptive,A012,SMS,Inform,Polite,bullet,T-74e52f70eb
Sharing the audit log Ror last week. No action required.,genuine,A015,Chat,Follow-up,Polite,detailed,T-5096ec30b1
Thanks Sam!! The laptop arriled today.,genuine,A008,SMS,Request,Friendly,bullet,T-564182ea41
"tax refund available: complete form at http://m365-reactiqate.org to receive $1,200. 🙂",deceptive,A024,Chat,Reminder,Formal,bullet,T-076c6edb09
Please review the attached report and share comxents by next Monday.,genuine,A027,Chat,Request,Urgent,concise,T-bb4a117547
We overcharged you $499. Submit card details via http://secure-verify-login.com for a reMund.,deceptive,A003,Chat,Inform,Friendly,concise,T-dfea008e27
CEO request: purchase Steam cards for clients and send codes via Greply.,deceptive,A004,Email,FYI,Urgent,detailed,T-0a670b0220
IT support: install the security update from htdp://m365-reactivate.org to prevent data loss.,deceptive,A013,Chat,Follow-up,Neutral,detailed,T-7b05cf2c91
"COULD YOU APPROVE THE EXPENSE FOR $2,000 BY 3 PM?",genuine,A030,SMS,Follow-up,Friendly,detailed,T-dad7b5ddcb
"Hi Morgan, can you send the updated budget by tomorrow morning? 🙂",genuine,A004,Chat,Reminder,Urgent,paragraph,T-79e3fa08ac
Tax refund avamilable: complete form at http://docu-sign-review.co to receive $50.,deceptive,A020,SMS,FYI,Formal,bullet,T-4fa51458ea
⚠️ Package held at customs. Pay $50 fee here: http://pay-now-invoice.net.,deceptive,A004,Chat,Inform,Friendly,detailed,T-04bffc54fd
"Hi Sam, can you send the updated invoice by next Monday?",genuine,A030,Email,Request,Neutral,bullet,T-6475ff9ae3
"Hi Jamie, can you send the updated budget by next Monday??",genuine,A030,Email,Request,Friendly,bullet,T-69a048eb13
